"Year","Name","Position","Age","Round","Pick","College","Conference","Games","Seasons","Height","Weight","X40.Yard","Bench","Broad.Jump","Shuttle","X3.Cone","Vertical","Pass.Att","Pass.Completions","Pass.Yds","Pass.TD","Pass.Int","Passer.Rating","Rush.Att","Rush.Yds","Rush.TD","Rec","Rec.Yds","Rec.TD","Solo.Tackles","Ast.Tackles","Total.Tackles","Tackles.for.Loss","Sacks","Int","Int.Return.Yards","Int.TD","Pass.Deflection","Fumble.Recovery","Fumble.Return.Yards","Fumble.TD","Forced.Fumbles","PRs","PR.Yds","PR.TD","KRs","KR.Yds","KR.TD","XPA","XP.","FGA","FG.","Punts","Punt.Avg"
2016,"Cody Whitehair","G",24,2,56,"Kansas St.","Big 12",41,4,76,301,5.02,16,110,4.58,7.32,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"T.J. Green","FS",21,2,57,"Clemson","ACC",31,3,74,209,4.34,13,129,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,84,34,118,5.5,1,1,-3,0,3,0,0,0,2,0,0,0,24,505,0,0,0,0,0,0,0
2016,"Sean Davis","CB",22,2,58,"Maryland","Big Ten",38,3,73,201,4.46,21,126,3.97,6.64,37.5,0,0,0,0,0,0,0,0,0,0,0,0,221,98,319,10,2.5,5,98,0,14,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Roberto Aguayo","K",22,2,59,"Florida St.","ACC",41,3,72,207,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,100,78,88.5,0,0
2016,"Cyrus Jones","CB",22,2,60,"Alabama","SEC",15,1,70,197,4.49,10,116,4.21,6.71,33,0,0,0,0,0,0,0,0,0,0,0,0,29,8,37,4,0,2,21,0,7,1,0,0,2,1,24,0,42,530,4,0,0,0,0,0,0
2016,"Vonn Bell","FS",21,2,61,"Ohio St.","Big Ten",36,3,71,199,4.52,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,60,175,4,1,9,49,1,15,2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"James Bradberry","CB",23,2,62,"Samford","Sun Belt",1,1,73,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Adam Gotsis","DT",24,2,63,"Georgia Tech","ACC",32,3,76,287,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,38,105,26,11.5,2,2,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Kevin Byard","S",23,3,64,"Middle Tenn. St.","CUSA",48,4,71,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,122,318,6,0,19,377,4,15,1,0,0,3,1,76,1,3,17,0,0,0,0,0,0,0
2016,"Carl Nassib","DE",23,3,65,"Penn St.","Big Ten",22,3,79,277,4.84,21,114,4.37,7.27,28.5,0,0,0,0,0,0,0,0,0,0,0,0,45,19,64,24,17.5,1,10,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
